Обычный','Королевства Севера','Lanaika.m11','Чудовища','Победа','2:1
Обычный','Скоя’таэли','uddey','Синдикат','Поражение','1:2
Обычный','Скоя’таэли','PanReuven','Синдикат','Поражение','0:2
Обычный','Скоя’таэли','GunsMonkey','Чудовища','Поражение','1:2
Обычный','Скоя’таэли','Fanya95','Чудовища','Поражение','1:2
Обычный','Скоя’таэли','TerribleDawg','Скоя’таэли','Поражение','0:2
Обычный','Скоя’таэли','Ur_Shugar','Скоя’таэли','Поражение','1:2
Обычный','Королевства Севера','Ksandrasl','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Idiot_Witcher','Королевства Севера','Поражение','0:2
Обычный','Королевства Севера','JohnnyBossy','Королевства Севера','Победа','2:1
Обычный','Королевства Севера','Clxmj','Нильфгаард','Поражение','0:2
Обычный','Королевства Севера','VelaRocks','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','jufres','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','raikage91','Королевства Севера','Поражение','0:2
Обычный','Королевства Севера','meegpo','Синдикат','Победа','2:0
Обычный','Королевства Севера','Mihan12333','Скеллиге','Поражение','0:2
Обычный','Королевства Севера','Nataru1','Чудовища','Поражение','0:2
Обычный','Королевства Севера','KasiGovarthan','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Vovandou','Синдикат','Победа','2:0
Обычный','Королевства Севера','Bora91','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','운좋은까치','Синдикат','Поражение','1:2
Обычный','Королевства Севера','elvensportsman','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','歪星人','Чудовища','Победа','2:0
Обычный','Королевства Севера','stevefox','Скеллиге','Победа','2:0
Обычный','Чудовища','Toweroffools','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','fockin-el','Скеллиге','Победа','2:0
Обычный','Королевства Севера','EvilPlumms','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','BulsonXwEED','Скоя’таэли','Поражение','1:2
Обычный','Синдикат','bambiee','Королевства Севера','Поражение','0:2
Обычный','Синдикат','Zireael_86','Королевства Севера','Поражение','1:2
Обычный','Синдикат','JGtm','Скеллиге','Победа','2:1
Обычный','Синдикат','jamsrowe','Королевства Севера','Победа','2:0
Обычный','Синдикат','two2times','Скоя’таэли','Победа','2:0
Обычный','Скеллиге','Hbtg','Нильфгаард','Победа','2:1
Обычный','Скеллиге','Defriz89','Королевства Севера','Победа','2:1
Обычный','Скеллиге','Cariton','Чудовища','Победа','2:1
Обычный','Чудовища','Eme30','Чудовища','Победа','2:0
Обычный','Нильфгаард','BBKnight','Скеллиге','Поражение','0:2
Рейтинговый','Нильфгаард','Andayra','Синдикат','Победа','2:1
Рейтинговый','Нильфгаард','Aykut_Yildirdi','Королевства Севера','Победа','2:1
